S,E,I,R,H
51261,102.5,79.7,2393158.9044645894,1389592.4
53336.01433468576,116.72189413106824,71.74511838614994,2401796.7923925724,188.40727077366688
54563.72263357095,192.25224266923112,104.4221642352315,2411180.0459496877,229.66610334303843
55751.68067994799,303.09915982020095,164.3862736018087,2420543.583274825,345.68581072822775
56759.624046788056,455.3742098796271,257.36190899270747,2430013.716585694,521.002117794335
57248.99786690219,698.6946334115474,394.4400234775894,2439872.215751802,783.1904127546401
57162.960438170034,1054.7309661630698,589.9131598425691,2450138.590244332,1190.7494352359083
56559.77650942733,1467.4313627173617,836.3784443659124,2460819.6876155925,1681.3661101078435
56859.974874466316,887.0235160092991,719.45220914483,2471961.5500884573,2116.3196605524276
56646.700363647855,1242.0646168673818,707.7212119819501,2482580.243690773,1624.390928627948
55330.94319740973,1783.8078827048755,1029.1246566779855,2493794.8221788006,2121.512508133793
52817.73817298034,2482.141961731164,1433.3215272075922,2505968.7179928413,3052.1961673203373
49226.94351692455,3119.1405681686265,1859.3312680072277,2519280.0746673993,4159.864799576569
44922.80401596168,3619.045787942861,2189.146555314856,2533538.0640269555,5165.235348485949
40586.894594923586,3673.473321707979,2381.5597992219004,2548433.652815322,5839.842083496632
39490.34871283289,1845.9006162625121,1635.1047465910822,2562913.7602078025,5475.687832288015
40174.54746797684,852.5094674102479,793.0212702534952,2574896.094767503,3000.0189336881076
41413.750549599805,410.4550973837872,372.6336257192553,2585359.1918926863,1421.8510220594012
42961.94187989127,188.15566574364192,182.15786369787025,2595082.2154645184,675.8864120220259
44206.65018607391,235.62023062827754,148.4534304446484,2604698.290715958,382.5203390548209
45454.44947642669,251.18173829024997,152.91047165351785,2614319.13607739,373.34731890005486
46694.39366802874,274.46492611231554,168.4736354882047,2623953.935773612,405.50465472460814
48110.8498061995,181.02871739760664,145.4537969182311,2633575.664847804,425.2515128077241
49387.14059441156,225.10788666594812,141.42033036971057,2643216.3261998557,332.4738651291592
50654.66491806056,258.6304854744334,157.60959219640256,2652856.7276173355,360.20755589459014
