S,E,I,R,H
53121,73,39,2402088.273739775,116
54419,187,110,2411324.442990163,232
55679,234,143,2420706.7493881956,336
56880,342,196,2430068.0767513537,434
57630,549,284,2439751.3482755935,561
57825,859,511,2449751.194808507,893
57175,1351,797,2460360.273932103,1496
57335,910,690,2471493.0006880783,2067
57087,1217,717,2482155.7298832713,1637
55823,1709,963,2493443.6979155927,2073
53542,2376,1362,2505421.9196547596,2861
50033,3078,1833,2518541.4900204996,3963
45868,3470,2163,2532768.060386175,5154
41455,3615,2329,2547676.5805311757,5797
40496,1816,1608,2561965.1142834895,5389
41126,855,776,2573959.1729731434,2975
42417,455,370,2584314.0311653884,1397
43922,198,214,2594080.4708738513,680
45054,294,183,2603758.014563104,454
46299,316,207,2613355.6777637606,473
47479,321,210,2623081.268003241,531
48792,234,178,2632808.9971683198,538
48403,310,174,2644082.9950113026,427
49442,357,228,2653900.6326130666,514
52420,306,187,2662019.399116587,388
53672,262,194,2671809.1656200425,454
54990,202,142,2681647.216607379,405
55964,293,157,2691618.7901555197,427
56868,342,209,2701681.696998381,479
57578,507,267,2711824.825298408,589
55912,719,456,2724164.4704613825,959
55871,926,529,2734998.5785551807,1268
55351,1176,674,2746186.9890732868,1577
55555,760,615,2757500.5019988553,1744
55638,881,527,2768418.7049058955,1412
55516,1038,648,2779247.0476985225,1401
54939,1254,778,2790462.390494081,1757
53726,1539,935,2802134.6677353843,2180
52084,1925,1097,2814127.265442726,2628
50077,2061,1308,2826595.8141816068,3105
49384,1308,1089,2839046.091838812,3223
49989,645,581,2850309.939109043,2061
51002,320,285,2860562.321754177,1091
52232,181,148,2870177.4945912664,558
53369,181,104,2879560.407266163,329
54484,189,131,2888832.9327051677,283
55469,245,143,2898059.8004479613,351
55374,174,123,2908503.705522665,324
56382,198,117,2917533.9533715392,292
57341,230,148,2926568.201220413,316
58187,308,165,2935451.318112159,407
58982,269,193,2944472.371108765,504
60052,212,125,2953126.596729216,391
60760,261,147,2961878.2132241777,403
62379,276,181,2969579.381093085,368
62988,390,221,2978066.652686901,504
63574,511,277,2986440.6528582526,639
61433,998,590,2996750.0044670305,1384
60504,1339,741,3006090.810322803,1724
60075,903,736,3015645.6668595383,2032
60025,892,571,3024541.2517805467,1503
59315,1115,674,3033325.0381582063,1582
58061,1470,866,3042431.824535816,1929
56505,1714,1059,3051698.516659488,2390
